Model,Release Date,Release Year,Model ID,Device Type,Year,Month,Company,Company_real,Company ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Mass (grams),Pixel Density (per inch),Mass New,Depth New,principal component 1,principal component 2,Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams)
Handspring Treo 90,2002-04-01,2002.25,214,Phone,2002,4,Handspring,Handspring Inc,56,0.00778222,6.45E-05,0.016051319,0.086330935,0.024390244,0.063492063,0.011853448,0.086572438,0.988146552,0.936497755,-0.461973933,0.089902175,0.175989086,0.241803279,0.063502245,0.016829754,0.011853448
O2 XDA (HTC Wallaby),2002-04-01,2002.25,215,Phone,2002,4,O2,O2,95,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.030387931,0.17617365,0.969612069,0.923669019,-0.339327622,0.060180106,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931
Siemens SIMpad SL4,2002-04-01,2002.25,216,Tab,2002,4,Siemens,SiemensæAG,117,0.031220435,0.000523305,0.102590781,0.482014388,0.284552846,0.281746032,0.198275862,0.18753155,0.801724138,0.859525337,-0.149254881,0.389365824,0.699863574,0.540983607,0.140474663,0.275956577,0.198275862
Siemens SIMpad SLC,2002-04-01,2002.25,217,Tab,2002,4,Siemens,SiemensæAG,117,0.031220435,0.000523305,0.102590781,0.482014388,0.284552846,0.281746032,0.198275862,0.18753155,0.801724138,0.859525337,-0.149254881,0.389365824,0.699863574,0.540983607,0.140474663,0.275956577,0.198275862
T-Mobile MDA (HTC Wallaby),2002-04-01,2002.25,218,Phone,2002,4,T-Mobile,T-Mobile,128,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.030387931,0.17617365,0.969612069,0.923669019,-0.339327622,0.060180106,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931
Toshiba Genio e570,2002-04-01,2002.25,219,Phone,2002,4,Toshiba,Toshiba Corporation,136,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.026724138,0.17617365,0.973275862,0.926876203,-0.33100702,0.058264563,0.323328786,0.116803279,0.073123797,0.026850524,0.026724138
Audiovox Maestro PDA-1032,2002-05-01,2002.333333,220,Phone,2002,5,Audiovox,HTC,61,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.026724138,0.17617365,0.973275862,0.926876203,-0.339219754,0.058383202,0.323328786,0.116803279,0.073123797,0.026850524,0.026724138
Casio BE-300 Pocket Manager,2002-05-01,2002.333333,221,Phone,2002,5,Casio,Casio,26,0.00778222,0.000261141,0.082581657,0.107913669,0.056910569,0.142857143,0.07112069,0.22387683,0.92887931,0.924310455,-0.343226392,0.040507334,0.189631651,0.295081967,0.075689545,0.065070766,0.07112069
Dopod 686 (HTC Wallaby),2002-05-01,2002.333333,222,Phone,2002,5,Dopod,HTC,61,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.030387931,0.17617365,0.969612069,0.923669019,-0.339327622,0.060180106,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931
Handspring Treo 270,2002-05-01,2002.333333,223,Phone,2002,5,Handspring,Handspring Inc,56,0.00778222,6.45E-05,0.016051319,0.086330935,0.024390244,0.063492063,0.020043103,0.086572438,0.979956897,0.904425914,-0.463926423,0.096076563,0.175989086,0.241803279,0.095574086,0.025030512,0.020043103
NEC MobilePro P300,2002-05-01,2002.333333,224,Phone,2002,5,NEC,NEC Corporationæ,91,0.015594958,0.000523305,0.102590781,0.151079137,0.056910569,0.142857143,0.027586207,0.152195861,0.972413793,0.920461835,-0.342272787,0.085439671,0.189631651,0.290983607,0.079538165,0.026679228,0.027586207
Qtek 1010 / 1020 (HTC Wallaby),2002-05-01,2002.333333,225,Phone,2002,5,Qtek,HTC,61,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.030387931,0.17617365,0.969612069,0.923669019,-0.331114888,0.060061468,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931
Sony Clie PEG-NR70,2002-05-01,2002.333333,226,Phone,2002,5,Sony,Sony Corporation,123,0.00778222,0.000130058,0.032558847,0.151079137,0.154471545,0.142857143,0.030172414,0.273094397,0.969827586,0.932007697,-0.324436573,0.059295423,0.179536153,0.359016393,0.067992303,0.025865576,0.030172414
Sony Clie PEG-NR70V,2002-05-01,2002.333333,227,Phone,2002,5,Sony,Sony Corporation,123,0.00778222,0.000130058,0.032558847,0.151079137,0.154471545,0.142857143,0.030172414,0.273094397,0.969827586,0.932007697,-0.324436573,0.059295423,0.179536153,0.359016393,0.067992303,0.025865576,0.030172414
CyberBank PC-EPhone III,2002-06-01,2002.416667,228,Phone,2002,6,CyberBank,HTC,61,0.031220435,0.000523305,0.102590781,0.165467626,0.219512195,0.222222222,0.045258621,0.390711762,0.954741379,0.91725465,-0.192650098,0.008410215,0.260572988,0.319672131,0.08274535,0.054985761,0.045258621
Sagem WA3050,2002-06-01,2002.416667,229,Phone,2002,6,Sagem,MiTAC International Corp,84,0.00778222,0.000261141,0.102590781,0.158273381,0.056910569,0.142857143,0.029741379,0.146895507,0.970258621,0.933290571,-0.34560579,0.0924015,0.20218281,0.33442623,0.066709429,0.027749823,0.029741379
Sony Clie PEG-T665C / PEG-T675C,2002-06-01,2002.416667,230,Phone,2002,6,Sony,Sony Corporation,123,0.00778222,0.000130058,0.032558847,0.09352518,0.089430894,0.142857143,0.017241379,0.26476527,0.982758621,0.95574086,-0.352635516,0.001862282,0.181446112,0.282786885,0.04425914,0.014538681,0.017241379
Sony Clie PEG-SL10 /  PEG-SL10U / PEG-SL10E,2002-07-01,2002.5,231,Phone,2002,7,Sony,Sony Corporation,123,0.003875851,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.009267241,0.29656739,0.990732759,0.933290571,-0.358847118,-0.023339473,0.178171896,0.225409836,0.066709429,0.016936813,0.009267241
Acer s50,2002-08-01,2002.583333,232,Phone,2002,8,Acer,Acer,3,0.00778222,6.45E-05,0.016051319,0.100719424,0.089430894,0.142857143,0.018318966,0.250630994,0.981681034,0.95574086,-0.364075912,0.01690224,0.195088677,0.299180328,0.04425914,0.017043873,0.018318966
Acer s60,2002-08-01,2002.583333,233,Phone,2002,8,Acer,Acer,3,0.00778222,6.45E-05,0.016051319,0.100719424,0.089430894,0.142857143,0.018318966,0.250630994,0.981681034,0.95574086,-0.364075912,0.01690224,0.195088677,0.299180328,0.04425914,0.017043873,0.018318966
Asus MyPal A600,2002-08-01,2002.583333,234,Phone,2002,8,Asus,Asus,14,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.016810345,0.17617365,0.983189655,0.957023733,-0.277717504,0.03711774,0.186903138,0.31147541,0.042976267,0.016251633,0.016810345
Fujitsu-Siemens Pocket LOOX 600,2002-08-01,2002.583333,235,Phone,2002,8,Fujitsu-Siemens,Fujitsu Ltd,50,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.024784483,0.17617365,0.975215517,0.930083387,-0.279323967,0.042758142,0.206002729,0.340163934,0.069916613,0.029955249,0.024784483
Handspring Treo 300,2002-08-01,2002.583333,236,Phone,2002,8,Handspring,Handspring Inc,56,0.00778222,6.45E-05,0.016051319,0.086330935,0.024390244,0.063492063,0.021982759,0.086572438,0.978017241,0.905708788,-0.463778684,0.096769586,0.175989086,0.241803279,0.094291212,0.024709333,0.021982759
Hewlett-Packard iPAQ H3950 / H3955,2002-08-01,2002.583333,237,Phone,2002,8,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.026724138,0.152195861,0.973275862,0.938422065,-0.281330042,0.068983058,0.210095498,0.348360656,0.061577935,0.028178061,0.026724138
Hewlett-Packard iPAQ H3970 / H3975,2002-08-01,2002.583333,238,Phone,2002,8,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.026724138,0.152195861,0.973275862,0.938422065,-0.281242623,0.069066357,0.210095498,0.348360656,0.061577935,0.028178061,0.026724138
Sony Clie PEG-SJ20 / PEG-SJ20U / PEG-SJ20E,2002-08-01,2002.583333,239,Phone,2002,8,Sony,Sony Corporation,123,0.00778222,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.014008621,0.29656739,0.985991379,0.926876203,-0.357089108,-0.020847565,0.178171896,0.225409836,0.073123797,0.018542706,0.014008621
Sony Clie PEG-SJ30 / PEG-SJ30U / PEG-SJ30E,2002-08-01,2002.583333,240,Phone,2002,8,Sony,Sony Corporation,123,0.00778222,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.017025862,0.29656739,0.982974138,0.926876203,-0.356996431,-0.019596617,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862
ViewSonic Pocket PC V35,2002-08-01,2002.583333,241,Phone,2002,8,ViewSonic,ViewSonic,145,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.0125,0.17617365,0.9875,0.958306607,-0.304319586,0.042654742,0.190995907,0.301229508,0.041693393,0.015844807,0.0125
Yakumo PDA Alpha,2002-08-01,2002.583333,242,Phone,2002,8,Yakumo,MiTAC International Corp,84,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.016810345,0.17617365,0.983189655,0.950609365,-0.329680539,0.052097876,0.191814461,0.294262295,0.049390635,0.017964585,0.016810345
Audiovox Thera PDA-2032,2002-09-01,2002.666667,243,Phone,2002,9,Audiovox,HTC,61,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.029741379,0.17617365,0.970258621,0.910840282,-0.340229098,0.061023629,0.192360164,0.323770492,0.089159718,0.032760208,0.029741379
Toshiba e740,2002-09-01,2002.666667,244,Phone,2002,9,Toshiba,Toshiba Corporation,136,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.017241379,0.17617365,0.982758621,0.968569596,-0.27691081,0.036296022,0.19781719,0.31147541,0.031430404,0.013810676,0.017241379
Toshiba Genio e310,2002-09-01,2002.666667,245,Phone,2002,9,Toshiba,Toshiba Corporation,136,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.017241379,0.17617365,0.982758621,0.95958948,-0.337262902,0.051617113,0.19781719,0.31147541,0.04041052,0.01678693,0.017241379
Siemens SX56 (HTC Wallaby),2002-10-01,2002.75,246,Phone,2002,10,Siemens,SiemensæAG,117,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.030387931,0.17617365,0.969612069,0.923669019,-0.339327622,0.060180106,0.181446112,0.327868852,0.076330981,0.026850524,0.030387931
Sony Clie PEG-NX60 / PEG-NX60U,2002-10-01,2002.75,247,Phone,2002,10,Sony,Sony Corporation,123,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.034482759,0.273094397,0.965517241,0.888389994,-0.291670447,0.054940318,0.179536153,0.359016393,0.111610006,0.040254373,0.034482759
Sony Clie PEG-NX70V,2002-10-01,2002.75,248,Phone,2002,10,Sony,Sony Corporation,123,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.034482759,0.273094397,0.965517241,0.888389994,-0.291670447,0.054940318,0.179536153,0.359016393,0.111610006,0.040254373,0.034482759
Toshiba Genio e330,2002-10-01,2002.75,249,Phone,2002,10,Toshiba,Toshiba Corporation,136,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.018211207,0.17617365,0.981788793,0.974342527,-0.303042142,0.04363313,0.19781719,0.31147541,0.025657473,0.011905017,0.018211207
Toshiba Thera 2032,2002-10-01,2002.75,250,Phone,2002,10,Toshiba,Toshiba Corporation,136,0.015594958,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.029741379,0.17617365,0.970258621,0.910840282,-0.340229098,0.061023629,0.192360164,0.323770492,0.089159718,0.032760208,0.029741379
Casio BE-500 Pocket Manager,2002-11-01,2002.833333,251,Phone,2002,11,Casio,Casio,26,0.00778222,0.000261141,0.082581657,0.107913669,0.056910569,0.142857143,0.02112069,0.204442201,0.97887931,0.924310455,-0.350483307,0.030681717,0.189631651,0.295081967,0.075689545,0.02580134,0.02112069
Dell Axim X5 Advanced,2002-11-01,2002.833333,252,Phone,2002,11,Dell,Dell,39,0.031220435,0.00078547,0.199635034,0.129496403,0.056910569,0.142857143,0.017025862,0.17617365,0.982974138,0.923669019,-0.279915668,0.040180509,0.204638472,0.323770492,0.076330981,0.020898015,0.017025862
Dell Axim X5 Basic,2002-11-01,2002.833333,253,Phone,2002,11,Dell,Dell,39,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.017241379,0.17617365,0.982758621,0.923669019,-0.314767051,0.04774043,0.204638472,0.323770492,0.076330981,0.020898015,0.017241379
MiTAC Mio 338 Digi-Walker,2002-11-01,2002.833333,254,Phone,2002,11,MiTAC,MiTAC International Corp,84,0.019501328,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.0125,0.17617365,0.9875,0.958948044,-0.336992904,0.050123371,0.191814461,0.29795082,0.041051956,0.015566452,0.0125
Orange SPV (HTC Canary),2002-11-01,2002.833333,255,Phone,2002,11,Orange,Orange UK,100,0.00778222,0.000392223,0.065573902,0.035971223,0.030894309,0.093253968,0.012931034,0.210499748,0.987068966,0.898011546,-0.399268408,-0.014857951,0.113233288,0.274590164,0.101988454,0.01678693,0.012931034
Dopod 515 (HTC Canary),2002-12-01,2002.916667,256,Phone,2002,12,Dopod,HTC,61,0.015594958,0.000523305,0.065573902,0.035971223,0.030894309,0.093253968,0.014439655,0.210499748,0.985560345,0.898011546,-0.395071994,-0.014250147,0.113233288,0.274590164,0.101988454,0.01678693,0.014439655
Hewlett-Packard iPAQ H1910  / H1915 (HTC Kiwi),2002-12-01,2002.916667,257,Phone,2002,12,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.000261141,0.099589413,0.129496403,0.056910569,0.142857143,0.012931034,0.17617365,0.987068966,0.957023733,-0.331039776,0.050296538,0.17271487,0.26352459,0.042976267,0.012226195,0.012931034
Hewlett-Packard iPAQ H5450 / H5455,2002-12-01,2002.916667,258,Phone,2002,12,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.00078547,0.199635034,0.151079137,0.056910569,0.142857143,0.031465517,0.152195861,0.968534483,0.937139192,-0.28118515,0.071143291,0.210095498,0.344262295,0.062860808,0.028370768,0.031465517
Symbol PDT 8000,2002-12-01,2002.916667,259,Phone,2002,12,Symbol,Zebra Technologies,152,0.062471389,0.001047635,0.199635034,0.158273381,0.056910569,0.142857143,0.127586207,0.146895507,0.872413793,0.753688262,-0.274413995,0.133940445,0.23165075,0.553278689,0.246311738,0.150804017,0.127586207
Casio Cassiopeia E-3000,2003-01-01,2003,260,Phone,2003,1,Casio,Casio,26,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.028017241,0.17617365,0.971982759,0.926234766,-0.279489156,0.044431919,0.186903138,0.352459016,0.073765234,0.030511959,0.028017241
Coxion WebBook Mobile Computer,2003-01-01,2003,261,Phone,2003,1,Coxion,Coxion,35,0.062471389,0.000523305,0.102590781,0.381294964,0.284552846,0.222222222,0.068965517,0.358909642,0.931034483,0.8466966,-0.130314255,0.189706446,0.596180082,0.352459016,0.1533034,0.043166392,0.068965517
CyberBank POZ 0850,2003-01-01,2003,262,Phone,2003,1,CyberBank,HTC,61,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.050646552,0.390711762,0.949353448,0.928800513,-0.268403294,-0.051744273,0.179263302,0.32704918,0.071199487,0.043252039,0.050646552
Medion MDPPC 100 (MD7200),2003-01-01,2003,263,Phone,2003,1,Medion,MiTAC International Corp,84,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.0125,0.17617365,0.9875,0.968569596,-0.330172141,0.049200705,0.197271487,0.29795082,0.031430404,0.013146907,0.0125
MiTAC Mio 728 PDA Phone,2003-01-01,2003,264,Phone,2003,1,MiTAC,MiTAC International Corp,84,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.026939655,0.17617365,0.973060345,0.898011546,-0.332984038,0.060854979,0.189631651,0.360655738,0.101988454,0.039612016,0.026939655
Samsung NEXiO S160 / NEXiO S165,2003-01-01,2003,265,Phone,2003,1,Samsung,Samsung,113,0.062471389,0.001047635,0.199635034,0.237410072,0.284552846,0.222222222,0.040948276,0.358909642,0.959051724,0.953175112,-0.101625891,0.070007906,0.405184175,0.172131148,0.046824888,0.031025844,0.040948276
Sony Clie PEG-NZ90 / PEG-NZ90U,2003-01-01,2003,266,Phone,2003,1,Sony,Sony Corporation,123,0.00778222,0.000261141,0.099589413,0.151079137,0.154471545,0.142857143,0.050215517,0.060575467,0.949784483,0.898011546,-0.353086911,0.179869551,0.186903138,0.37704918,0.101988454,0.017022461,0.050215517
Symbol PPT 8800,2003-01-01,2003,267,Phone,2003,1,Symbol,Zebra Technologies,152,0.015594958,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.053017241,0.17617365,0.946982759,0.831302117,-0.320015809,0.0705765,0.205457026,0.397540984,0.168697883,0.073399996,0.053017241
Yakumo PDA Delta 200,2003-01-01,2003,268,Phone,2003,1,Yakumo,MiTAC International Corp,84,0.031220435,0.000523305,0.099589413,0.129496403,0.056910569,0.142857143,0.0125,0.17617365,0.9875,0.968569596,-0.330172141,0.049200705,0.197271487,0.29795082,0.031430404,0.013146907,0.0125
Kyocera 7135,2003-02-01,2003.083333,269,Phone,2003,2,Kyocera,Kyocera Corporation,74,0.00778222,0.000130058,0.016051319,0.057553957,0.024390244,0.063492063,0.027155172,0.114588592,0.972844828,0.912764593,-0.460758827,0.065684484,0.150341064,0.212295082,0.087235407,0.016744106,0.027155172
Motorola A760,2003-02-01,2003.083333,270,Phone,2003,2,Motorola,Motorola,87,0.00778222,0.000523305,0.099589413,0.057553957,0.056910569,0.142857143,0.012931034,0.295053004,0.987068966,0.904425914,-0.326623382,-0.053884896,0.126875853,0.209016393,0.095574086,0.019313534,0.012931034
Sony Ericsson P800 / P802 (SE Linnea),2003-02-01,2003.083333,271,Phone,2003,2,Sony,Sony Corporation,123,0.00778222,0.000457764,0.077579376,0.09352518,0.043902439,0.142857143,0.02112069,0.207723372,0.97887931,0.866581142,-0.362060375,0.022019101,0.14324693,0.270491803,0.133418858,0.029634071,0.02112069
E-TEN InfoTouch P600,2003-03-01,2003.166667,272,Phone,2003,3,E-TEN,"E-TEN Information Systems Co., Ltd",43,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.032327586,0.17617365,0.967672414,0.923669019,-0.33105531,0.060865649,0.200545703,0.352459016,0.076330981,0.032182087,0.032327586
Nokia 3600,2003-03-01,2003.166667,273,Phone,2003,3,Nokia,Nokia Corporation,92,0.003875851,0.000261141,0.051567515,0.028776978,0.030894309,0.087301587,0.015086207,0.469207471,0.984913793,0.872354073,-0.338059468,-0.15821161,0.137789905,0.331967213,0.127645927,0.008628996,0.015086207
Samsung SPH-i330,2003-03-01,2003.166667,274,Phone,2003,3,Samsung,Samsung,113,0.00778222,6.45E-05,0.016051319,0.086330935,0.056910569,0.063492063,0.023706897,0.291771832,0.976293103,0.923669019,-0.394487947,-0.008780412,0.159618008,0.31147541,0.076330981,0.010877246,0.023706897
Samsung SPH-i700,2003-03-01,2003.166667,275,Phone,2003,3,Samsung,Samsung,113,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.021982759,0.17617365,0.978017241,0.933290571,-0.305747469,0.048753881,0.173260573,0.340163934,0.066709429,0.0232105,0.021982759
Sony Clie PEG-SJ22 / PEG-SJ22U / PEG-SJ2E,2003-03-01,2003.166667,276,Phone,2003,3,Sony,Sony Corporation,123,0.00778222,6.45E-05,0.016051319,0.079136691,0.089430894,0.142857143,0.017025862,0.29656739,0.982974138,0.926876203,-0.356996431,-0.019596617,0.178171896,0.225409836,0.073123797,0.018542706,0.017025862
Sony Clie PEG-TG50 / PEG-TG50U,2003-03-01,2003.166667,277,Phone,2003,3,Sony,Sony Corporation,123,0.00778222,0.000261141,0.099589413,0.09352518,0.089430894,0.142857143,0.02112069,0.272084806,0.97887931,0.958948044,-0.314510019,-0.010835654,0.177626194,0.31557377,0.041051956,0.014709976,0.02112069
Toshiba e750 / e755,2003-03-01,2003.166667,278,Phone,2003,3,Toshiba,Toshiba Corporation,136,0.031220435,0.001047635,0.199635034,0.151079137,0.056910569,0.142857143,0.030172414,0.152195861,0.969827586,0.942912123,-0.280740722,0.070190257,0.19781719,0.307377049,0.057087877,0.022011434,0.030172414
Toshiba Genio e350,2003-03-01,2003.166667,279,Phone,2003,3,Toshiba,Toshiba Corporation,136,0.031220435,0.000523305,0.149612223,0.129496403,0.056910569,0.142857143,0.019181034,0.17617365,0.980818966,0.974342527,-0.303012353,0.04403522,0.19781719,0.31147541,0.025657473,0.011905017,0.019181034
Acer n20,2003-04-01,2003.25,280,Phone,2003,4,Acer,Acer,3,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.025862069,0.152195861,0.974137931,0.956382296,-0.280122258,0.067069428,0.19781719,0.327868852,0.043617704,0.018714001,0.025862069
Acer n20w,2003-04-01,2003.25,281,Phone,2003,4,Acer,Acer,3,0.031220435,0.000523305,0.199635034,0.151079137,0.056910569,0.142857143,0.037715517,0.152195861,0.962284483,0.91340603,-0.282711587,0.07570767,0.19781719,0.327868852,0.08659397,0.033316918,0.037715517
Casio Cassiopeia IT-500 M30,2003-04-01,2003.25,282,Phone,2003,4,Casio,Casio,26,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.049568966,0.433619384,0.950431034,0.910840282,-0.212136629,-0.089461252,0.19781719,0.463114754,0.089159718,0.050510674,0.049568966
Casio Cassiopeia IT-500 M30B,2003-04-01,2003.25,283,Phone,2003,4,Casio,Casio,26,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.040948276,0.17617365,0.959051724,0.910840282,-0.288187806,0.051412261,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276
Casio Cassiopeia IT-500 M30CB,2003-04-01,2003.25,284,Phone,2003,4,Casio,Casio,26,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.040948276,0.17617365,0.959051724,0.910840282,-0.288187806,0.051412261,0.19781719,0.463114754,0.089159718,0.045371818,0.040948276
Casio Cassiopeia IT-500 M30CR,2003-04-01,2003.25,285,Phone,2003,4,Casio,Casio,26,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.043103448,0.17617365,0.956896552,0.910840282,-0.288121608,0.052305795,0.19781719,0.463114754,0.089159718,0.045371818,0.043103448
Casio Cassiopeia IT-500 M30R,2003-04-01,2003.25,286,Phone,2003,4,Casio,Casio,26,0.015594958,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.049568966,0.17617365,0.950431034,0.910840282,-0.287923015,0.054986399,0.19781719,0.463114754,0.089159718,0.045371818,0.049568966
Orange SPV E100 (HTC Tanager),2003-04-01,2003.25,287,Phone,2003,4,Orange,Orange UK,100,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.014439655,0.210499748,0.985560345,0.888389994,-0.403026515,-0.012464913,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655
Palm Tungsten C,2003-04-01,2003.25,288,Phone,2003,4,Palm,Palm,102,0.031220435,0.000261141,0.199635034,0.09352518,0.089430894,0.142857143,0.025431034,0.26476527,0.974568966,0.930083387,-0.253081174,-0.017489094,0.195088677,0.295081967,0.069916613,0.015138214,0.025431034
I-Mate Smartphone (HTC Tanager),2003-05-01,2003.333333,289,Phone,2003,5,I-Mate,I-Mate,64,0.00778222,0.000523305,0.059571164,0.035971223,0.030894309,0.093253968,0.014439655,0.210499748,0.985560345,0.888389994,-0.403026515,-0.012464913,0.118963165,0.292622951,0.111610006,0.020919427,0.014439655
MiTAC Mio 339 Digi-Walker,2003-05-01,2003.333333,290,Phone,2003,5,MiTAC,MiTAC International Corp,84,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.023706897,0.17617365,0.976293103,0.940987813,-0.278432854,0.041533127,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897
MiTAC Mio 8380 Digi-Walker,2003-05-01,2003.333333,291,Phone,2003,5,MiTAC,MiTAC International Corp,84,0.015594958,0.000523305,0.099589413,0.035971223,0.030894309,0.093253968,0.017887931,0.210499748,0.982112069,0.849262348,-0.380256884,-0.013652432,0.122783083,0.200819672,0.150737652,0.022546731,0.017887931
NEC MobilePro 900,2003-05-01,2003.333333,292,Phone,2003,5,NEC,NEC Corporationæ,91,0.031220435,0.001047635,0.199635034,0.460431655,0.219512195,0.103174603,0.165948276,0.100706714,0.834051724,0.8466966,-0.211972495,0.403356066,0.653478854,0.323770492,0.1533034,0.192814166,0.165948276
Panasonic Toughbook CF-P1,2003-05-01,2003.333333,293,Phone,2003,5,Panasonic,Panasonic,103,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.103448276,0.17617365,0.896551724,0.77613855,-0.339009378,0.103135491,0.249658936,0.508196721,0.22386145,0.139391474,0.103448276
Asus MyPal A620,2003-06-01,2003.416667,294,Phone,2003,6,Asus,Asus,14,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.017456897,0.17617365,0.982543103,0.953816549,-0.277918049,0.037663697,0.191814461,0.31147541,0.046183451,0.017900349,0.017456897
CyberBank POZ 0870,2003-06-01,2003.416667,295,Phone,2003,6,CyberBank,HTC,61,0.031220435,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.05237069,0.390711762,0.94762931,0.910840282,-0.269584599,-0.049473229,0.174624829,0.329918033,0.089159718,0.054985761,0.05237069
E-TEN InfoTouch P603,2003-06-01,2003.416667,296,Phone,2003,6,E-TEN,"E-TEN Information Systems Co., Ltd",43,0.031220435,0.000523305,0.102590781,0.129496403,0.056910569,0.142857143,0.032327586,0.17617365,0.967672414,0.921103271,-0.331231634,0.061087965,0.206002729,0.362295082,0.078896729,0.034944222,0.032327586
Hewlett-Packard iPAQ H1940 / H1945 (HTC Kiwi),2003-06-01,2003.416667,297,Phone,2003,6,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.000523305,0.132604468,0.129496403,0.056910569,0.142857143,0.013793103,0.17617365,0.986206897,0.957023733,-0.313397698,0.045829999,0.17271487,0.26352459,0.042976267,0.012226195,0.013793103
Hewlett-Packard iPAQ H2210 / H2212 / H2212e / H2215 (HTC Great Wall),2003-06-01,2003.416667,298,Phone,2003,6,Hewlett-Packard,Hewlett-Packard,58,0.031220435,0.000523305,0.199635034,0.129496403,0.056910569,0.142857143,0.018146552,0.17617365,0.981853448,0.940346376,-0.278822563,0.03911679,0.190723056,0.272131148,0.059653624,0.019634713,0.018146552
MiTAC Mio 338 Plus Digi-Walker,2003-06-01,2003.416667,299,Phone,2003,6,MiTAC,MiTAC International Corp,84,0.019501328,0.001047635,0.099589413,0.129496403,0.056910569,0.142857143,0.0125,0.17617365,0.9875,0.958948044,-0.336818066,0.050289968,0.191814461,0.29795082,0.041051956,0.015566452,0.0125
MiTAC Mio 558 Digi-Walker,2003-06-01,2003.416667,300,Phone,2003,6,MiTAC,MiTAC International Corp,84,0.031220435,0.001047635,0.199635034,0.129496403,0.056910569,0.142857143,0.023706897,0.17617365,0.976293103,0.940987813,-0.278432854,0.041533127,0.178717599,0.307377049,0.059012187,0.019806008,0.023706897
